ID,abbreviation,name,Zip,latitude,longitude,TSR,logo,newscasts,localstories,Sum of NPR One Large Logo,Sum of NPR One Display Name,Sum of Station Hello,Sum of Pledge URL,Sum of Pledge Audio,Sum of *ANY* Sonic ID,cume,npronelogo
3,KAMU-FM,KAMU,,30.61,-96.34,,,0,0,0,0,0,0,0,0,3715,
4,KPR,Kansas Public Radio,66044,39.0176677,-95.2057909,3849413,station_logos/kpr.gif,1,1,1,3,1,1,0,0,0,npr_one_logos/kpr.png
7,KANW-FM,New Mexico Public Radio,,35.372976,-106.617342,,station_logos/kanw_fm.gif,0,0,0,0,0,0,0,0,17596,
8,HPPR,High Plains Public Radio,67846,38.0792424,-100.7097867,,station_logos/hppr.gif,0,0,0,0,0,0,0,0,5228,
11,KASU-FM,KASU,,35.8417,-90.676899,,,0,0,0,1,0,0,0,0,1740,
12,KAWC-AM,KAWC,,32.687169,-114.624698,,station_logos/kawc_am.gif,0,1,0,0,0,0,0,0,2549,
14,KAXE-FM,KAXE,,47.122739,-93.47167,,station_logos/kaxe_fm.gif,0,0,0,0,0,0,0,0,0,
15,KAZU-FM,KAZU,93955,36.6216869,-121.7993168,1441510,station_logos/kazu_fm.gif,0,1,0,0,0,0,0,0,0,
17,KBIA-FM,KBIA,,38.933139,-92.373804,,station_logos/kbia_fm.gif,1,1,1,0,0,0,0,0,5610,npr_one_logos/kbia_fm.png
18,KBRW-AM,KBRW,99723,71.2715487,-156.7514504,,station_logos/kbrw_am.gif,0,0,0,2,0,0,0,0,0,
20,BSPR,Boise State Public Radio,83725,43.6050671,-116.2070427,2058512,station_logos/bspr.gif,0,1,1,3,2,1,0,2,8793,npr_one_logos/bspr.png
27,KCBX-FM,KCBX,93401,35.2454989,-120.5969758,1058860,station_logos/kcbx_fm.gif,0,1,1,1,0,0,0,0,0,npr_one_logos/kcbx_fm.png
28,KCCU-FM,KCCU,73505,34.631685,-98.5062007,737038,station_logos/kccu_fm.gif,0,0,0,0,0,0,0,0,949,
32,CPR,Colorado Public Radio,80112,39.5835785,-104.8571368,14455062,station_logos/cpr.gif,1,0,1,8,1,0,0,1,65688,npr_one_logos/cpr.png
42,NSPR,Northstate Public Radio,95929,39.735769,-121.8504463,1435928,station_logos/nspr.gif,0,0,0,2,0,2,0,0,5963,
45,KCLU-FM,KCLU,91360,34.2024698,-118.8741429,,,0,0,0,0,0,0,0,0,0,
46,NDPR,Prairie Public Broadcasting,58102,46.9223429,-96.840133,1335953,station_logos/ndpr.gif,0,1,1,0,1,0,0,1,4562,npr_one_logos/ndpr.png
55,KCRW-FM,KCRW,,34.009746,-118.465958,,station_logos/kcrw_fm.gif,0,0,1,1,0,0,0,0,254033,npr_one_logos/kcrw_fm.png
60,KCUR-FM,KCUR 89.3,64110,39.0362552,-94.5753394,3829963,station_logos/kcur_fm.gif,0,1,1,1,0,1,1,1,36923,npr_one_logos/kcur_fm.png
61,RRR,Red River Radio,71115,32.2392184,-93.5205641,,station_logos/rrr.gif,0,1,0,0,0,0,0,0,4968,
66,KEDM-FM,KEDM Public Radio,71209,32.5291557,-92.0698902,469234,station_logos/kedm_fm.gif,1,1,1,1,0,0,0,0,0,npr_one_logos/kedm_fm.png
67,STPB,KEDT,78411,27.7218102,-97.3894772,,station_logos/stpb.gif,0,0,0,0,0,0,0,0,0,
70,YPR,Yellowstone Public Radio,59101,45.5576428,-108.3942141,,,0,0,0,0,0,0,0,0,0,
75,KENW-FM,KENW,,34.177654,-103.31253,,station_logos/kenw_fm.gif,0,1,0,0,0,0,0,0,0,
77,KERA,KERA,75201,32.7863301,-96.7962528,10247973,station_logos/kera.gif,1,1,1,2,1,2,0,0,61693,npr_one_logos/kera.png
80,KEYA-FM,KEYA,58316,48.807437,-99.7873927,,station_logos/keya_fm.gif,0,0,0,0,0,0,0,0,0,
81,KGOU-FM,KGOU,,35.187951,-97.442192,,station_logos/kgou_fm.gif,1,1,1,4,0,0,0,0,8046,npr_one_logos/kgou_fm.png
83,RK,Radio Kansas,67501,37.9854328,-97.9374948,,station_logos/rk.gif,0,0,1,1,1,0,0,0,0,npr_one_logos/rk.png
87,HPR,Hawaii Public Radio,96814,21.2966976,-157.8480364,,,1,1,1,8,0,0,0,0,2643,npr_one_logos/hpr.png
92,KHSU-FM,KHSU,95521,40.8805372,-124.0874754,1273296,station_logos/khsu_fm.gif,0,1,1,4,0,0,0,0,5341,npr_one_logos/khsu_fm.png
94,KIOS-FM,KIOS,,41.26447,-95.964754,,station_logos/kios_fm.gif,0,0,0,0,0,0,0,0,12944,
95,KJZZ-FM,KJZZ,,33.436665,-111.940325,,station_logos/kjzz_fm.gif,0,0,0,1,0,0,0,0,0,
96,KLCC-FM,KLCC,97401,44.0637173,-123.0847061,2095942,station_logos/klcc_fm.gif,0,0,1,6,0,1,0,0,15717,npr_one_logos/klcc_fm.png
101,KJJF-FM,KJJF,,26.207302,-97.69857,,station_logos/kmbh_fm.gif,0,0,0,2,0,0,0,0,0,
103,KMUW-FM,KMUW Wichita Public Radio,67202,37.6843628,-97.332753,2013261,station_logos/kmuw_fm.gif,1,1,1,1,0,1,0,0,0,npr_one_logos/kmuw_fm.png
104,APR,Alabama Public Radio,35487,33.207199,-87.5482025,1615451,station_logos/apr.gif,0,1,0,1,0,0,0,0,0,
111,MPR,Minnesota Public Radio,55101,44.9513188,-93.0901841,23149337,station_logos/mpr.gif,1,1,1,2,0,0,14,0,256177,npr_one_logos/mpr.png
127,KNPR,Nevada Public Radio,89146,36.135635,-115.2304131,5409559,,0,0,1,2,0,1,0,0,23994,npr_one_logos/knpr.png
133,KTTZ-FM,KTTZ,,33.588644,-101.882043,,station_logos/kttz_fm.gif,0,0,0,0,0,0,0,0,0,
134,OPB,Oregon Public Broadcasting,97219,45.4618086,-122.7181902,11521069,station_logos/opb.gif,1,1,1,4,0,0,0,0,107303,npr_one_logos/opb.png
